"","ID","danger"
"1068","2254","NO"
"1069","2257","NO"
"1070","2259","NO"
"1071","2261","NO"
"1072","2264","NO"
"1073","2266","NO"
"1074","2268","NO"
"1075","2272","YES"
"1076","2275","NO"
"1077","2279","YES"
"1078","2287","NO"
"1079","2290","NO"
"1080","2296","NO"
"1081","2298","NO"
"1082","2299","NO"
"1083","2300","NO"
"1084","2302","NO"
"1085","2305","NO"
"1086","2307","NO"
"1087","2308","YES"
"1088","2312","YES"
"1089","2314","NO"
"1090","2316","NO"
"1091","2317","YES"
"1092","2318","YES"
"1093","2321","NO"
"1094","2322","YES"
"1095","2323","NO"
"1096","2324","NO"
"1097","2325","NO"
"1098","2328","NO"
"1099","2330","NO"
"1100","2331","NO"
"1101","2332","YES"
"1102","2334","NO"
"1103","2337","NO"
"1104","2338","NO"
"1105","2339","NO"
"1106","2342","NO"
"1107","2343","NO"
"1108","2347","NO"
"1109","2348","NO"
"1110","2350","NO"
"1111","2351","YES"
"1112","2353","NO"
"1113","2354","NO"
"1114","2355","NO"
"1115","2356","NO"
"1116","2357","YES"
"1117","2358","NO"
"1118","2359","YES"
"1119","2360","NO"
"1120","2361","NO"
"1121","2362","NO"
"1122","2363","NO"
"1123","2364","NO"
"1124","2365","NO"
"1125","2366","NO"
"1126","2367","NO"
"1127","2372","NO"
"1128","2373","NO"
"1129","2374","NO"
"1130","2378","NO"
"1131","2382","NO"
"1132","2384","NO"
"1133","2387","NO"
"1134","2388","NO"
"1135","2391","NO"
"1136","2393","NO"
"1137","2397","YES"
"1138","2399","NO"
"1139","2400","NO"
"1140","2408","NO"
"1141","2413","NO"
"1142","2416","NO"
"1143","2420","NO"
"1144","2421","NO"
"1145","2424","YES"
"1146","2425","NO"
"1147","2426","NO"
"1148","2427","NO"
"1149","2428","NO"
"1150","2430","NO"
"1151","2431","NO"
"1152","2432","NO"
"1153","2433","NO"
"1154","2439","NO"
"1155","2440","NO"
"1156","2441","NO"
"1157","2443","NO"
"1158","2446","NO"
"1159","2447","NO"
"1160","2450","NO"
"1161","2452","NO"
"1162","2456","NO"
"1163","2457","NO"
"1164","2458","NO"
"1165","2460","NO"
"1166","2461","NO"
"1167","2464","YES"
"1168","2465","NO"
"1169","2469","NO"
"1170","2470","YES"
"1171","2471","NO"
"1172","2472","NO"
"1173","2478","NO"
"1174","2479","NO"
"1175","2480","NO"
"1176","2483","YES"
"1177","2493","NO"
"1178","2494","NO"
"1179","2496","NO"
"1180","2498","NO"
"1181","2500","NO"
"1182","2501","NO"
"1183","2502","NO"
"1184","2505","YES"
"1185","2506","NO"
"1186","2508","NO"
"1187","2509","NO"
"1188","2510","NO"
"1189","2512","YES"
"1190","2517","NO"
"1191","2518","NO"
"1192","2521","NO"
"1193","2522","NO"
"1194","2524","YES"
"1195","2525","YES"
"1196","2527","NO"
"1197","2528","NO"
"1198","2530","NO"
"1199","2531","NO"
"1200","2532","NO"
"1201","2533","YES"
"1202","2534","NO"
"1203","2535","NO"
"1204","2536","NO"
"1205","2537","NO"
"1206","2538","NO"
"1207","2539","NO"
"1208","2540","NO"
"1209","2541","NO"
"1210","2542","NO"
"1211","2543","NO"
"1212","2544","NO"
"1213","2545","NO"
"1214","2546","NO"
"1215","2547","NO"
"1216","2548","NO"
"1217","2549","NO"
"1218","2551","NO"
"1219","2552","NO"
"1220","2554","NO"
"1221","2556","NO"
"1222","2557","YES"
"1223","2559","NO"
"1224","2560","NO"
"1225","2564","NO"
"1226","2565","NO"
"1227","2566","NO"
"1228","2567","NO"
"1229","2569","NO"
"1230","2571","NO"
"1231","2573","NO"
"1232","2574","NO"
"1233","2576","NO"
"1234","2581","NO"
"1235","2582","YES"
"1236","2583","NO"
"1237","2584","NO"
"1238","2587","NO"
"1239","2588","YES"
"1240","2591","NO"
"1241","2597","NO"
"1242","2598","NO"
"1243","2599","NO"
"1244","2601","YES"
"1245","2602","YES"
"1246","2603","YES"
"1247","2604","NO"
"1248","2605","NO"
"1249","2607","NO"
"1250","2613","NO"
"1251","2614","NO"
"1252","2615","NO"
"1253","2617","NO"
"1254","2618","NO"
"1255","2624","NO"
"1256","2626","NO"
"1257","2627","NO"
"1258","2629","NO"
"1259","2630","NO"
"1260","2631","YES"
"1261","2632","NO"
"1262","2633","NO"
"1263","2634","NO"
"1264","2635","YES"
"1265","2636","NO"
"1266","2637","NO"
"1267","2638","NO"
"1268","2639","NO"
"1269","2642","NO"
"1270","2646","NO"
"1271","2647","NO"
"1272","2649","NO"
"1273","2650","NO"
"1274","2651","NO"
"1275","2652","NO"
"1276","2653","NO"
"1277","2654","NO"
"1278","2656","NO"
"1279","2658","NO"
"1280","2662","NO"
"1281","2664","NO"
"1282","2665","NO"
"1283","2666","YES"
"1284","2669","NO"
"1285","2671","NO"
"1286","2672","NO"
"1287","2674","NO"
"1288","2677","YES"
"1289","2680","NO"
"1290","2684","YES"
"1291","2687","NO"
"1292","2688","NO"
"1293","2691","NO"
"1294","2694","NO"
"1295","2695","NO"
"1296","2699","NO"
"1297","2700","NO"
"1298","2704","NO"
"1299","2706","NO"
"1300","2707","NO"
"1301","2708","NO"
"1302","2709","NO"
"1303","2712","YES"
"1304","2713","YES"
"1305","2714","NO"
"1306","2719","NO"
"1307","2721","NO"
"1308","2722","NO"
"1309","2723","NO"
"1310","2724","NO"
"1311","2726","NO"
"1312","2727","NO"
"1313","2729","NO"
"1314","2730","YES"
"1315","2733","YES"
"1316","2738","NO"
"1317","2741","NO"
"1318","2742","NO"
"1319","2743","NO"
"1320","2745","YES"
"1321","2746","NO"
"1322","2748","NO"
"1323","2749","NO"
"1324","2756","NO"
"1325","2757","YES"
"1326","2758","NO"
"1327","2762","NO"
"1328","2766","NO"
"1329","2767","NO"
"1330","2772","YES"
"1331","2773","NO"
"1332","2775","NO"
"1333","2777","NO"
"1334","2778","NO"
"1335","2779","NO"
"1336","2780","NO"
"1337","2782","NO"
"1338","2789","NO"
"1339","2790","YES"
"1340","2791","NO"
"1341","2792","NO"
"1342","2793","NO"
"1343","2796","NO"
"1344","2797","NO"
"1345","2802","NO"
"1346","2813","NO"
"1347","2814","NO"
"1348","2817","YES"
"1349","2818","NO"
"1350","2820","NO"
"1351","2821","NO"
"1352","2823","NO"
"1353","2824","NO"
"1354","2825","NO"
"1355","2826","NO"
"1356","2833","NO"
"1357","2835","NO"
"1358","2839","NO"
"1359","2840","NO"
"1360","2841","NO"
"1361","2843","NO"
"1362","2844","NO"
"1363","2845","NO"
"1364","2853","NO"
"1365","2856","NO"
"1366","2857","NO"
"1367","2858","NO"
"1368","2859","NO"
"1369","2860","NO"
"1370","2867","NO"
"1371","2868","NO"
"1372","2870","NO"
"1373","2871","NO"
"1374","2875","NO"
"1375","2877","NO"
"1376","2879","NO"
"1377","2882","YES"
"1378","2884","NO"
"1379","2885","NO"
"1380","2887","NO"
"1381","2888","NO"
"1382","2889","NO"
"1383","2890","NO"
"1384","2891","NO"
"1385","2892","NO"
"1386","2893","YES"
"1387","2895","NO"
"1388","2901","NO"
"1389","2904","YES"
"1390","2906","YES"
"1391","2912","NO"
"1392","2913","NO"
"1393","2915","NO"
"1394","2916","NO"
"1395","2917","NO"
"1396","2918","NO"
"1397","2919","NO"
"1398","2922","NO"
"1399","2923","NO"
"1400","2925","NO"
